name.keyword: Descending,msg.keyword: Descending,timestamp: Descending,Count
prism-ba05,vs_update3notification,1.50423E+12,1
prism-ba05,Windows Software Development Kit for Windows Store Apps DirectX x86 Remote,1.50423E+12,1
prism-ba05,Windows Software Development Kit DirectX x86 Remote,1.50423E+12,1
prism-ba05,Windows Phone SDK 8.0 Assemblies for Visual Studio 2015,1.50423E+12,1
prism-ba05,Windows Espc Resource Package,1.50423E+12,1
prism-ba05,Windows Espc Package,1.50423E+12,1
prism-ba05,WCF Data Services Tools for Microsoft Visual Studio 2015,1.50423E+12,1
prism-ba05,WCF Data Services 5.6.4 Runtime,1.50423E+12,1
prism-ba05,Visual Studio Graphics Analyzer,1.50423E+12,1
prism-ba05,Visual Studio 2015 Update 3 (KB3022398),1.50423E+12,1
prism-ba05,Visual Studio 2012 Verification SDK,1.50423E+12,1
prism-ba05,Visual C++ MSBuild X86 Package,1.50423E+12,1
prism-ba05,Visual C++ MSBuild X64 Package,1.50423E+12,1
prism-ba05,Visual C++ MSBuild Base Resource Package,1.50423E+12,1
prism-ba05,Visual C++ MSBuild Base Package,1.50423E+12,1
prism-ba05,Visual C++ MSBuild ARM Package,1.50423E+12,1
prism-ba05,Visual C++ Library PGO X86 Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Professional Core Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Debugger Resource Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Debugger Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Core Professional Plus Resource Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Core Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Common Resource Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Common Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Base Resource Package,1.50423E+12,1
prism-ba05,Visual C++ IDE Base Package,1.50423E+12,1
prism-ba05,Visual C++ Compiler/Tools X86 Base Resource Package,1.50423E+12,1
prism-ba05,Visual C++ Compiler/Tools X86 Base Package,1.50423E+12,1
prism-ba05,VS Update core components,1.50423E+12,1
prism-ba05,Update for Microsoft Visual Studio 2015 (KB3165756),1.50423E+12,1
prism-ba05,Update for  (KB2504637),1.50423E+12,1
prism-ba05,Uninstall Finalizer,1.50423E+12,1
prism-ba05,TypeScript Tools for Microsoft Visual Studio 2015,1.50423E+12,1
prism-ba05,TypeScript Power Tool,1.50423E+12,1
prism-ba05,Test Tools for Microsoft Visual Studio 2015,1.50423E+12,1
prism-ba05,Team Explorer for Microsoft Visual Studio 2015 Update 3.1,1.50423E+12,1
prism-ba05,System Health Tool,1.50423E+12,1
prism-ba05,Roslyn Language Services - x86,1.50423E+12,1
prism-ba05,Python Launcher,1.50423E+12,1
prism-ba05,Python 3.6.1 pip Bootstrap (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Utility Scripts (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Test Suite (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Tcl/Tk Support (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Standard Library (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Executables (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Documentation (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Development Libraries (32-bit),1.50423E+12,1
prism-ba05,Python 3.6.1 Core Interpreter (32-bit),1.50423E+12,1
prism-ba05,Prerequisites for SSDT ,1.50423E+12,1
prism-ba05,PreEmptive Analytics Visual Studio Components,1.50423E+12,1
prism-ba05,Notepad++,1.50423E+12,1
prism-ba05,Multi-Device Hybrid Apps using C# - Templates - ENU,1.50423E+12,1
prism-ba05,Microsoft.VisualStudio.Office365,1.50423E+12,1
prism-ba05,Microsoft VisualStudio JavaScript Project System,1.50423E+12,1
prism-ba05,Microsoft VisualStudio JavaScript Language Service,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Services Hub,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Professional 2015 - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Professional 2015,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Premium 2015 - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Premium 2015,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Enterprise 2015 with Updates,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Enterprise 2015 - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Enterprise 2015,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Connected Services,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Community 2015 - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio Community 2015,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 XAML Visual Diagnostics - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 XAML Visual Diagnostics,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 XAML Designer - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 XAML Designer,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 XAML Application Timeline - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 XAML Application Timeline,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Windows Diagnostic Tools - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Windows Diagnostic Tools,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Update 3.1 Team Explorer Language Pack - ENU,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Update 3 Performance Debugger Web Views,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Update 3 IntelliTrace Front End,1.50423E+12,1
prism-ba05,Microsoft Visual Studio 2015 Update 3 IntelliTrace (x86),1.50423E+12,1
